,alignment,condition,time_screen,sub,age,gender
210,aligned,same,1.5354545454545454,KMGJCF,6.575342465753424,m
211,aligned,same,4.6066666666666665,FZLQ2Y,4.602739726027397,m
212,aligned,same,2.4655555555555555,33UX2S,5.7534246575342465,f
213,aligned,same,2.55,H2VVXG,4.191780821917808,f
214,aligned,same,2.858333333333334,F4AJSB,5.342465753424658,m
215,aligned,same,1.7916666666666667,4UE4J2,5.506849315068493,m
216,aligned,same,4.380000000000001,ZTYVTW,4.027397260273973,f
217,aligned,same,10.616666666666665,R52TRD,4.027397260273973,m
218,aligned,same,1.4481818181818182,ZJPWHP,6.328767123287672,m
219,aligned,same,1.4533333333333334,RJRCRR,5.917808219178082,f
220,aligned,same,2.0583333333333336,CECNMS,4.3561643835616435,m
221,aligned,same,5.6090909090909085,5cKP4G,6.410958904109589,m
222,aligned,same,6.8199999999999985,SNURNN,4.52054794520548,m
223,aligned,same,1.8666666666666665,7AZPQD,4.438356164383562,f
224,aligned,same,4.1000000000000005,2TGKCT,6.657534246575342,f
225,aligned,same,1.6583333333333332,K6FGHF,6.493150684931507,m
226,aligned,same,2.375,dEEK22,6.739726027397261,f
227,aligned,same,3.8916666666666675,ZRHCPK,4.273972602739726,m
228,aligned,same,3.110909090909091,dcXZY4,6.904109589041096,m
229,aligned,same,2.4272727272727277,7BKKNM,4.3561643835616435,f
230,aligned,same,4.999,MR5U5N,4.3561643835616435,m
231,aligned,same,1.52,5SAMNS,5.589041095890411,m
232,aligned,same,8.064545454545454,C57ASP,6.904109589041096,m
233,aligned,same,5.259166666666667,LA6RF5,5.260273972602739,m
234,aligned,same,2.1316666666666664,42cZAM,6.657534246575342,f
235,aligned,same,6.834545454545455,TLLBVC,6.986301369863014,f
236,aligned,same,2.200909090909091,RNcVC3,4.684931506849315,f
237,aligned,same,2.308333333333333,2G2AL4,4.3561643835616435,m
238,aligned,same,7.6175,X37SMJ,5.917808219178082,f
239,aligned,same,3.8575,G277c4,4.109589041095891,m
240,aligned,same,3.6916666666666664,Uc5HAY,6.2465753424657535,f
241,aligned,same,1.6660000000000004,dHWQWK,5.7534246575342465,f
242,aligned,same,3.394545454545455,46QP6X,4.684931506849315,f
243,aligned,same,1.9672727272727273,PD62cC,4.191780821917808,f
244,aligned,same,2.091666666666667,RKQERS,4.109589041095891,m
245,aligned,same,3.590909090909091,QYYW46,5.342465753424658,f
246,aligned,same,5.736363636363635,CdBSPP,4.109589041095891,f
